Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
22,"J Xu, Y Ren, J Li",Multiscale simulations of protein folding: application to formation of secondary structures,2013,Journal of Biomolecular Structure and Dynamics,Taylor & Francis,https://www.tandfonline.com/doi/abs/10.1080/07391102.2012.709461,"https://scholar.google.com/scholar?cites=18403592299750595395&as_sdt=2005&sciodt=0,5&hl=en",196,22/11/2019 18:45,,,,,,,,,22,3.67,7,3,6
180,"Y Zhu, DOV Alonso, K Maki…",Ultrafast folding of α3D: A de novo designed three-helix bundle protein,2003,Proceedings of the …,National Acad Sciences,https://www.pnas.org/content/100/26/15486.short,"https://scholar.google.com/scholar?cites=12253613711611187584&as_sdt=2005&sciodt=0,5&hl=en",197,22/11/2019 18:45,,,,,,,,,180,11.25,45,4,16
221,"A Matouschek, AR Fersht",Application of physical organic chemistry to engineered mutants of proteins: Hammond postulate behavior in the transition state of protein folding,1993,Proceedings of the National …,National Acad Sciences,https://www.pnas.org/content/90/16/7814.short,"https://scholar.google.com/scholar?cites=2597225553102304873&as_sdt=2005&sciodt=0,5&hl=en",198,22/11/2019 18:45,,,,,,,,,221,8.5,111,2,26
295,"CD Snow, EJ Sorin, YM Rhee…",How well can simulation predict protein folding kinetics and thermodynamics?,2005,Annu. Rev. Biophys …,annualreviews.org,https://www.annualreviews.org/doi/abs/10.1146/annurev.biophys.34.040204.144447,"https://scholar.google.com/scholar?cites=6392953639897972183&as_sdt=2005&sciodt=0,5&hl=en",199,22/11/2019 18:45,,,,,,,,,295,21.07,74,4,14
616,"B Schuler, WA Eaton",Protein folding studied by single-molecule FRET,2008,Current opinion in structural biology,Elsevier,https://www.sciencedirect.com/science/article/pii/S0959440X07002035,"https://scholar.google.com/scholar?cites=3342787288552083760&as_sdt=2005&sciodt=0,5&hl=en",200,22/11/2019 18:45,,,,,,,,,616,56,308,2,11
710,"S Williams, TP Causgrove, R Gilmanshin, KS Fang…",Fast events in protein folding: helix melting and formation in a small peptide,1996,Biochemistry,ACS Publications,https://pubs.acs.org/doi/abs/10.1021/bi952217p,"https://scholar.google.com/scholar?cites=4160369669096138023&as_sdt=2005&sciodt=0,5&hl=en",201,22/11/2019 18:45,,,,,,,,,710,30.87,142,5,23
65,"R Zerella, PY Chen, PA Evans, A Raine…",Structural characterization of a mutant peptide derived from ubiquitin: implications for protein folding,2000,Protein …,cambridge.org,https://www.cambridge.org/core/journals/protein-science/article/structural-characterization-of-a-mutant-peptide-derived-from-ubiquitin-implications-for-protein-folding/FECC6C46F4A9268D09F2F0A3F6E8348D,"https://scholar.google.com/scholar?cites=12929989852660353305&as_sdt=2005&sciodt=0,5&hl=en",202,22/11/2019 18:45,,,,,,,,,65,3.42,13,5,19
93,"R Kitahara, K Akasaka",Close identity of a pressure-stabilized intermediate with a kinetic intermediate in protein folding,2003,Proceedings of the National …,National Acad Sciences,https://www.pnas.org/content/100/6/3167.short,"https://scholar.google.com/scholar?cites=7234768614202339363&as_sdt=2005&sciodt=0,5&hl=en",203,22/11/2019 18:45,,,,,,,,,93,5.81,47,2,16
92,"HC Shin, G Merutka, JP Waltho, PE Wright…",Peptide models of protein folding initiation sites. 2. The GH turn region of myoglobin acts as a helix stop signal,1993,Biochemistry,ACS Publications,https://pubs.acs.org/doi/abs/10.1021/bi00076a007,"https://scholar.google.com/scholar?cites=16305360103431541244&as_sdt=2005&sciodt=0,5&hl=en",204,22/11/2019 18:45,,,,,,,,,92,3.54,18,5,26
529,"KA Sharp, A Nicholls, R Friedman, B Honig",Extracting hydrophobic free energies from experimental data: relationship to protein folding and theoretical models,1991,Biochemistry,ACS Publications,https://pubs.acs.org/doi/full/10.1021/bi00104a017,"https://scholar.google.com/scholar?cites=2201486663259482877&as_sdt=2005&sciodt=0,5&hl=en",205,22/11/2019 18:45,,,,,,,,,529,18.89,132,4,28
53,"FP Agostini, DDO Soares‐Pinto…",Generalized simulated annealing applied to protein folding studies,2006,Journal of …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/jcc.20428,"https://scholar.google.com/scholar?cites=18240669200554481404&as_sdt=2005&sciodt=0,5&hl=en",206,22/11/2019 18:45,,,,,,,,,53,4.08,18,3,13
119,"HJ Dyson, PE Wright",Elucidation of the protein folding landscape by NMR,2005,Methods in enzymology,Elsevier,https://www.sciencedirect.com/science/article/pii/S0076687905940111,"https://scholar.google.com/scholar?cites=18207908533990227498&as_sdt=2005&sciodt=0,5&hl=en",207,22/11/2019 18:45,,,,,,,,,119,8.5,60,2,14
72,"J Clarke, AM Hounslow, M Bycroft…",Local breathing and global unfolding in hydrogen exchange of barnase and its relationship to protein folding pathways,1993,Proceedings of the …,National Acad Sciences,https://www.pnas.org/content/90/21/9837.short,"https://scholar.google.com/scholar?cites=10107467322165235043&as_sdt=2005&sciodt=0,5&hl=en",208,22/11/2019 18:45,,,,,,,,,72,2.77,18,4,26
46,"CS Le Duff, SBM Whittaker, SE Radford…",Characterisation of the conformational properties of urea-unfolded Im7: implications for the early stages of protein folding,2006,Journal of molecular …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0022283606012447,"https://scholar.google.com/scholar?cites=13226169342594703736&as_sdt=2005&sciodt=0,5&hl=en",209,22/11/2019 18:45,,,,,,,,,46,3.54,12,4,13
68,"H Feng, J Takei, R Lipsitz, N Tjandra, Y Bai",Specific non-native hydrophobic interactions in a hidden folding intermediate: implications for protein folding,2003,Biochemistry,ACS Publications,https://pubs.acs.org/doi/abs/10.1021/bi035561s,"https://scholar.google.com/scholar?cites=4310605498530386575&as_sdt=2005&sciodt=0,5&hl=en",210,22/11/2019 18:45,,,,,,,,,68,4.25,14,5,16
143,"S Topell, J Hennecke, R Glockshuber",Circularly permuted variants of the green fluorescent protein,1999,FEBS letters,Wiley Online Library,https://febs.onlinelibrary.wiley.com/doi/abs/10.1016/S0014-5793(99)01044-3,"https://scholar.google.com/scholar?cites=17006040368347044551&as_sdt=2005&sciodt=0,5&hl=en",211,22/11/2019 18:45,,,,,,,,,143,7.15,48,3,20
90,"M Cieplak, M Henkel, J Karbowski, JR Banavar",Master equation approach to protein folding and kinetic traps,1998,Physical review letters,APS,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.80.3654,"https://scholar.google.com/scholar?cites=15947106139136948655&as_sdt=2005&sciodt=0,5&hl=en",212,22/11/2019 18:45,,,,,,,,,90,4.29,23,4,21
3,J Jeknić-Dugić,Protein folding: the optically induced electronic excitations model,2009,Physica Scripta,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/0031-8949/2009/T135/014031/meta,"https://scholar.google.com/scholar?cites=6748895972280698722&as_sdt=2005&sciodt=0,5&hl=en",213,22/11/2019 18:45,,,,,,,,,3,0.3,3,1,10
302,"TG Oas, PS Kim",A peptide model of a protein folding intermediate,1988,Nature,nature.com,https://www.nature.com/articles/336042a0,"https://scholar.google.com/scholar?cites=3671188808022853712&as_sdt=2005&sciodt=0,5&hl=en",214,22/11/2019 18:45,,,,,,,,,302,9.74,151,2,31
153,"J Balbach, V Forge, WS Lau, NAJ van Nuland…",Protein folding monitored at individual residues during a two-dimensional NMR experiment,1996,…,science.sciencemag.org,https://science.sciencemag.org/content/274/5290/1161.short,"https://scholar.google.com/scholar?cites=13296110847748521290&as_sdt=2005&sciodt=0,5&hl=en",215,22/11/2019 18:45,,,,,,,,,153,6.65,31,5,23
191,"BSJ Blagg, TD Kerr",Hsp90 inhibitors: small molecules that transform the Hsp90 protein folding machinery into a catalyst for protein degradation,2006,Medicinal research reviews,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/med.20052,"https://scholar.google.com/scholar?cites=14002185352436507536&as_sdt=2005&sciodt=0,5&hl=en",216,22/11/2019 18:45,,,,,,,,,191,14.69,96,2,13
7,S Anthony‐Cahill,Using the protein folding literature to teach biophysical chemistry to undergraduates,2001,Biochemistry and Molecular Biology …,Wiley Online Library,https://iubmb.onlinelibrary.wiley.com/doi/abs/10.1111/j.1539-3429.2001.tb00068.x,"https://scholar.google.com/scholar?cites=15452828942050877173&as_sdt=2005&sciodt=0,5&hl=en",217,22/11/2019 18:45,,,,,,,,,7,0.39,7,1,18
239,"M Sadqi, D Fushman, V Munoz",Atom-by-atom analysis of global downhill protein folding,2006,Nature,nature.com,https://www.nature.com/articles/nature04859,"https://scholar.google.com/scholar?cites=11030698819578475079&as_sdt=2005&sciodt=0,5&hl=en",218,22/11/2019 18:45,,,,,,,,,239,18.38,80,3,13
371,"L Qiu, SA Pabit, AE Roitberg…",Smaller and faster: The 20-residue Trp-cage protein folds in 4 μs,2002,Journal of the American …,ACS Publications,https://pubs.acs.org/doi/abs/10.1021/ja0279141,"https://scholar.google.com/scholar?cites=10291831436623829218&as_sdt=2005&sciodt=0,5&hl=en",219,22/11/2019 18:45,,,,,,,,,371,21.82,93,4,17
54,"C Nishimura, HJ Dyson…",Enhanced picture of protein-folding intermediates using organic solvents in H/D exchange and quench-flow experiments,2005,Proceedings of the …,National Acad Sciences,https://www.pnas.org/content/102/13/4765.short,"https://scholar.google.com/scholar?cites=16953742112321317456&as_sdt=2005&sciodt=0,5&hl=en",220,22/11/2019 18:45,,,,,,,,,54,3.86,18,3,14
78,"DA Egan, TM Logan, H Liang, E Matayoshi…",Equilibrium denaturation of recombinant human FK binding protein in urea,1993,Biochemistry,ACS Publications,https://pubs.acs.org/doi/pdf/10.1021/bi00059a006,"https://scholar.google.com/scholar?cites=10574948711440887513&as_sdt=2005&sciodt=0,5&hl=en",221,22/11/2019 18:45,,,,,,,,,78,3,16,5,26
50,"S Abbruzzetti, C Viappiani, JR Small, LJ Libertini…",… studied by time-resolved photoacoustics: neutralization reactions of carboxylates in aqueous solutions and their relevance to the problem of protein folding,2000,Biophysical journal,Elsevier,https://www.sciencedirect.com/science/article/pii/S000634950076509X,"https://scholar.google.com/scholar?cites=12600576024884902457&as_sdt=2005&sciodt=0,5&hl=en",222,22/11/2019 18:45,HTML,,,,,,,,50,2.63,10,5,19
49,"GA Chasse, AM Rodriguez, ML Mak, E Deretey…",Peptide and protein folding,2001,Journal of Molecular …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0166128000006874,"https://scholar.google.com/scholar?cites=17481267478169538526&as_sdt=2005&sciodt=0,5&hl=en",223,22/11/2019 18:45,,,,,,,,,49,2.72,10,5,18
103,"M Lelimousin, M Noirclerc-Savoye…",Intrinsic dynamics in ECFP and Cerulean control fluorescence quantum yield,2009,Biochemistry,ACS Publications,https://pubs.acs.org/doi/abs/10.1021/bi901093w,"https://scholar.google.com/scholar?cites=7622684766922211471&as_sdt=2005&sciodt=0,5&hl=en",224,22/11/2019 18:45,,,,,,,,,103,10.3,34,3,10
61,"TP Causgrove, RB Dyer",Nonequilibrium protein folding dynamics: laser-induced pH-jump studies of the helix–coil transition,2006,Chemical Physics,Elsevier,https://www.sciencedirect.com/science/article/pii/S0301010405003861,"https://scholar.google.com/scholar?cites=13459342668336767622&as_sdt=2005&sciodt=0,5&hl=en",225,22/11/2019 18:45,,,,,,,,,61,4.69,31,2,13
90,"AA Di Nardo, DM Korzhnev…",Dramatic acceleration of protein folding by stabilization of a nonnative backbone conformation,2004,Proceedings of the …,National Acad Sciences,https://www.pnas.org/content/101/21/7954.short,"https://scholar.google.com/scholar?cites=12229269438461446081&as_sdt=2005&sciodt=0,5&hl=en",226,22/11/2019 18:45,,,,,,,,,90,6,30,3,15
19,"LA Campos, M Sadqi, J Liu, X Wang…",Gradual disordering of the native state on a slow two-state folding protein monitored by single-molecule fluorescence spectroscopy and NMR,2013,The Journal of …,ACS Publications,https://pubs.acs.org/doi/abs/10.1021/jp403051k,"https://scholar.google.com/scholar?cites=15706377160674028758&as_sdt=2005&sciodt=0,5&hl=en",227,22/11/2019 18:45,,,,,,,,,19,3.17,4,5,6
13,"Y Mei, C Wei, YM Yip, CY Ho, JZH Zhang…",Folding and thermodynamic studies of Trp-cage based on polarized force field,2012,Theoretical Chemistry …,Springer,https://link.springer.com/article/10.1007/s00214-012-1168-0,"https://scholar.google.com/scholar?cites=12269500020342737506&as_sdt=2005&sciodt=0,5&hl=en",228,22/11/2019 18:45,,,,,,,,,13,1.86,2,6,7
99,"MS Goldberg, J Zhang, S Sondek…",Native-like structure of a protein-folding intermediate bound to the chaperonin GroEL,1997,Proceedings of the …,National Acad Sciences,https://www.pnas.org/content/94/4/1080.short,"https://scholar.google.com/scholar?cites=8611052352777350569&as_sdt=2005&sciodt=0,5&hl=en",229,22/11/2019 18:45,,,,,,,,,99,4.5,25,4,22
471,JU Bowie,Solving the membrane protein folding problem,2005,Nature,nature.com,https://www.nature.com/articles/nature04395,"https://scholar.google.com/scholar?cites=4116746732896045929&as_sdt=2005&sciodt=0,5&hl=en",230,22/11/2019 18:45,,,,,,,,,471,33.64,471,1,14
347,"JN Onuchic, ND Socci, Z Luthey-Schulten…",Protein folding funnels: the nature of the transition state ensemble,1996,Folding and …,Elsevier,https://www.sciencedirect.com/science/article/pii/S1359027896000600,"https://scholar.google.com/scholar?cites=10234205634468719300&as_sdt=2005&sciodt=0,5&hl=en",231,22/11/2019 18:45,HTML,,,,,,,,347,15.09,87,4,23
171,"IV Baskakov, R Kumar, G Srinivasan, Y Ji…",Trimethylamine N-oxide-induced cooperative folding of an intrinsically unfolded transcription-activating fragment of human glucocorticoid receptor,1999,Journal of Biological …,ASBMB,http://www.jbc.org/content/274/16/10693.short,"https://scholar.google.com/scholar?cites=1014651296710973834&as_sdt=2005&sciodt=0,5&hl=en",232,22/11/2019 18:45,,,,,,,,,171,8.55,34,5,20
265,"DM Korzhnev, TL Religa, W Banachewicz…",A transient and low-populated protein-folding intermediate at atomic resolution,2010,…,science.sciencemag.org,https://science.sciencemag.org/content/329/5997/1312.short,"https://scholar.google.com/scholar?cites=15989732441788518651&as_sdt=2005&sciodt=0,5&hl=en",233,22/11/2019 18:45,,,,,,,,,265,29.44,66,4,9
5,"JR Winkler, HB Gray, CK Chan, J Hofrichter, WA Eaton",Optical triggers of protein folding,1996,Science,go.galegroup.com,https://go.galegroup.com/ps/i.do?id=GALE%7CA18844510&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=00368075&p=HRCA&sw=w,"https://scholar.google.com/scholar?cites=15589554794358393080&as_sdt=2005&sciodt=0,5&hl=en",234,22/11/2019 18:45,,,,,,,,,5,0.22,1,5,23
30,"NM Allewell, H Oberoi","Electrostatic effects in protein folding, stability, and function",1991,Methods in enzymology,Elsevier,https://www.sciencedirect.com/science/article/pii/007668799102003R,"https://scholar.google.com/scholar?cites=846261811544176775&as_sdt=2005&sciodt=0,5&hl=en",235,22/11/2019 18:45,1,,,,,,,,30,1.07,15,2,28
4,C Flindt,Quantum physics: Single electrons pop out of the Fermi sea,2013,Nature,nature.com,https://www.nature.com/nature/journal/v502/n7473/abs/nature12699.html,"https://scholar.google.com/scholar?cites=516191618392658750&as_sdt=2005&sciodt=0,5&hl=en",236,22/11/2019 18:45,,,,,,,,,4,0.67,4,1,6
26,"DM Vu, ES Peterson, RB Dyer",Experimental resolution of early steps in protein folding: testing molecular dynamics simulations,2004,Journal of the American Chemical …,ACS Publications,https://pubs.acs.org/doi/abs/10.1021/ja048416q,"https://scholar.google.com/scholar?cites=18134240610206402090&as_sdt=2005&sciodt=0,5&hl=en",237,22/11/2019 18:45,,,,,,,,,26,1.73,9,3,15
53,"J Liu, LA Campos, M Cerminara…",Exploring one-state downhill protein folding in single molecules,2012,Proceedings of the …,National Acad Sciences,https://www.pnas.org/content/109/1/179.short,"https://scholar.google.com/scholar?cites=14809580673448900313&as_sdt=2005&sciodt=0,5&hl=en",238,22/11/2019 18:45,,,,,,,,,53,7.57,13,4,7
123,"F Forneris, R Orru, D Bonivento, LR Chiarelli…","ThermoFAD, a Thermofluor®‐adapted flavin ad hoc detection system for protein folding and ligand binding",2009,The FEBS …,Wiley Online Library,https://febs.onlinelibrary.wiley.com/doi/abs/10.1111/j.1742-4658.2009.07006.x,"https://scholar.google.com/scholar?cites=6254510534394244583&as_sdt=2005&sciodt=0,5&hl=en",239,22/11/2019 18:45,,,,,,,,,123,12.3,25,5,10
186,"Q Hua, MA Weiss",Mechanism of insulin fibrillation the structure of insulin under amyloidogenic conditions resembles a protein-folding intermediate,2004,Journal of Biological Chemistry,ASBMB,http://www.jbc.org/content/279/20/21449.short,"https://scholar.google.com/scholar?cites=9289201369573809564&as_sdt=2005&sciodt=0,5&hl=en",240,22/11/2019 18:45,,,,,,,,,186,12.4,93,2,15
109,"IA Topol, SK Burt, E Deretey, TH Tang…",α- and 310-Helix Interconversion:  A Quantum-Chemical Study on Polyalanine Systems in the Gas Phase and in Aqueous Solvent,2001,Journal of the …,ACS Publications,https://pubs.acs.org/doi/abs/10.1021/ja0038934,"https://scholar.google.com/scholar?cites=11746461545701247202&as_sdt=2005&sciodt=0,5&hl=en",241,22/11/2019 18:45,,,,,,,,,109,6.06,22,5,18
8,"RA Broglia, L Serrano",Protein folding and drug design,2007,,books.google.com,https://books.google.com/books?hl=en&lr=&id=dQrvAgAAQBAJ&oi=fnd&pg=PR7&dq=quantum+protein+folding&ots=DxZhxMTgg6&sig=jqf9rU-XnqsyVlI_c7WvGETC_H8,"https://scholar.google.com/scholar?cites=16551575970212719246&as_sdt=2005&sciodt=0,5&hl=en",242,22/11/2019 18:45,BOOK,,,,,,,,8,0.67,4,2,12
220,M Gruebele,The fast protein folding problem,1999,Annual Review of Physical Chemistry,annualreviews.org,https://www.annualreviews.org/doi/abs/10.1146/annurev.physchem.50.1.485,"https://scholar.google.com/scholar?cites=566857347551474387&as_sdt=2005&sciodt=0,5&hl=en",243,22/11/2019 18:45,,,,,,,,,220,11,220,1,20
66,"Y Tao, Y Huang, Z Gao, H Zhuang, A Zhou…",Developing VUV spectroscopy for protein folding and material luminescence on beamline 4B8 at the Beijing Synchrotron Radiation Facility,2009,Journal of synchrotron …,scripts.iucr.org,https://scripts.iucr.org/cgi-bin/paper?tc5008,"https://scholar.google.com/scholar?cites=16734691550529950153&as_sdt=2005&sciodt=0,5&hl=en",244,22/11/2019 18:45,,,,,,,,,66,6.6,11,6,10
819,"JD Bryngelson, PG Wolynes",Intermediates and barrier crossing in a random energy model (with applications to protein folding),1989,The Journal of Physical Chemistry,ACS Publications,https://pubs.acs.org/doi/abs/10.1021/j100356a007,"https://scholar.google.com/scholar?cites=25398721054144403&as_sdt=2005&sciodt=0,5&hl=en",245,22/11/2019 18:45,,,,,,,,,819,27.3,410,2,30
226,"LL Chavez, JN Onuchic, C Clementi",Quantifying the roughness on the free energy landscape: entropic bottlenecks and protein folding rates,2004,Journal of the American …,ACS Publications,https://pubs.acs.org/doi/abs/10.1021/ja049510+,"https://scholar.google.com/scholar?cites=5235110297067715747&as_sdt=2005&sciodt=0,5&hl=en",246,22/11/2019 18:45,,,,,,,,,226,15.07,75,3,15
13,"B Uk, M Taufer, T Stricker, G Settanni…",Combining task-and data parallelism to speed up protein folding on a desktop grid platform,2003,CCGrid 2003. 3rd …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/1199374/,"https://scholar.google.com/scholar?cites=14999847906616851271&as_sdt=2005&sciodt=0,5&hl=en",247,22/11/2019 18:45,,,,,,,,,13,0.81,3,5,16
69,"Y Duan, PA Kollman",Computational protein folding: From lattice to all-atom,2001,IBM Systems Journal,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/5386972/,"https://scholar.google.com/scholar?cites=8981367634267660838&as_sdt=2005&sciodt=0,5&hl=en",248,22/11/2019 18:45,,,,,,,,,69,3.83,35,2,18
55,"KN Hu, WM Yau, R Tycko",Detection of a transient intermediate in a rapid protein folding process by solid-state nuclear magnetic resonance,2009,Journal of the American Chemical …,ACS Publications,https://pubs.acs.org/doi/abs/10.1021/ja908471n,"https://scholar.google.com/scholar?cites=17452657448213926668&as_sdt=2005&sciodt=0,5&hl=en",249,22/11/2019 18:45,,,,,,,,,55,5.5,18,3,10
35,CM Jones,An introduction to research in protein folding for undergraduates,1997,Journal of chemical education,ACS Publications,https://pubs.acs.org/doi/abs/10.1021/ed074p1306,"https://scholar.google.com/scholar?cites=17203639052966284035&as_sdt=2005&sciodt=0,5&hl=en",250,22/11/2019 18:45,,,,,,,,,35,1.59,35,1,22
360,"B Urbanc, L Cruz, S Yun, SV Buldyrev…",In silico study of amyloid β-protein folding and oligomerization,2004,Proceedings of the …,National Acad Sciences,https://www.pnas.org/content/101/50/17345.short,"https://scholar.google.com/scholar?cites=15608976170095282811&as_sdt=2005&sciodt=0,5&hl=en",251,22/11/2019 18:45,,,,,,,,,360,24,72,5,15
251,"KC Chou, CT Zhang",Predicting protein folding types by distance functions that make allowances for amino acid interactions.,1994,Journal of Biological Chemistry,ASBMB,http://www.jbc.org/content/269/35/22014.short,"https://scholar.google.com/scholar?cites=9288406055937302812&as_sdt=2005&sciodt=0,5&hl=en",252,22/11/2019 18:45,,,,,,,,,251,10.04,126,2,25
100,"JB Rouget, T Aksel, J Roche, JL Saldana…",Size and sequence and the volume change of protein folding,2011,Journal of the …,ACS Publications,https://pubs.acs.org/doi/abs/10.1021/ja200228w,"https://scholar.google.com/scholar?cites=15129037826267354334&as_sdt=2005&sciodt=0,5&hl=en",253,22/11/2019 18:45,,,,,,,,,100,12.5,20,5,8
649,"HJ Dyson, PE Wright",Unfolded proteins and protein folding studied by NMR,2004,Chemical reviews,ACS Publications,https://pubs.acs.org/doi/abs/10.1021/cr030403s,"https://scholar.google.com/scholar?cites=7263467224023585778&as_sdt=2005&sciodt=0,5&hl=en",254,22/11/2019 18:45,,,,,,,,,649,43.27,325,2,15
103,"GT Montelione, HA Scheraga",Formation of local structures in protein folding,1989,Accounts of Chemical Research,ACS Publications,https://pubs.acs.org/doi/abs/10.1021/ar00158a004,"https://scholar.google.com/scholar?cites=7252130889274970226&as_sdt=2005&sciodt=0,5&hl=en",255,22/11/2019 18:45,,,,,,,,,103,3.43,52,2,30
91,"KH Mok, PJ Hore",Photo-CIDNP NMR methods for studying protein folding,2004,Methods,Elsevier,https://www.sciencedirect.com/science/article/pii/S1046202304000532,"https://scholar.google.com/scholar?cites=9644945564510488392&as_sdt=2005&sciodt=0,5&hl=en",256,22/11/2019 18:45,,,,,,,,,91,6.07,46,2,15
111,PG Wolynes,"Evolution, energy landscapes and the paradoxes of protein folding",2015,Biochimie,Elsevier,https://www.sciencedirect.com/science/article/pii/S0300908414003897,"https://scholar.google.com/scholar?cites=9348808209468599546&as_sdt=2005&sciodt=0,5&hl=en",257,22/11/2019 18:45,,,,,,,,,111,27.75,111,1,4
26,AD McLachlan,Quantum chemistry and protein folding: The art of the possible,1977,Int. J. Quant. Chem,,,"https://scholar.google.com/scholar?cites=8847687856910432447&as_sdt=2005&sciodt=0,5&hl=en",258,22/11/2019 18:45,CITATION,,,,,,,,26,0.62,26,1,42
75,"LL Duan, Y Mei, D Zhang, QG Zhang…",Folding of a helix at room temperature is critically aided by electrostatic polarization of intraprotein hydrogen bonds,2010,Journal of the American …,ACS Publications,https://pubs.acs.org/doi/abs/10.1021/ja102735g,"https://scholar.google.com/scholar?cites=13812845202166389563&as_sdt=2005&sciodt=0,5&hl=en",259,22/11/2019 18:45,,,,,,,,,75,8.33,15,5,9
145,"FE Boas, PB Harbury",Potential energy functions for protein design,2007,Current opinion in structural biology,Elsevier,https://www.sciencedirect.com/science/article/pii/S0959440X0700036X,"https://scholar.google.com/scholar?cites=1748891213913121158&as_sdt=2005&sciodt=0,5&hl=en",260,22/11/2019 18:45,,,,,,,,,145,12.08,73,2,12
110,"AG Evdokimov, ME Pokross, NS Egorov…",Structural basis for the fast maturation of Arthropoda green fluorescent protein,2006,EMBO …,embopress.org,https://www.embopress.org/doi/abs/10.1038/sj.embor.7400787,"https://scholar.google.com/scholar?cites=4348754234163918180&as_sdt=2005&sciodt=0,5&hl=en",261,22/11/2019 18:45,,,,,,,,,110,8.46,28,4,13
112,"YH Lee, BJ Berne",Global optimization: Quantum thermal annealing with path integral Monte Carlo,2000,The Journal of Physical Chemistry A,ACS Publications,https://pubs.acs.org/doi/abs/10.1021/jp991868i,"https://scholar.google.com/scholar?cites=4024902359784809932&as_sdt=2005&sciodt=0,5&hl=en",262,22/11/2019 18:45,,,,,,,,,112,5.89,56,2,19
135,"IJ Ropson, C Frieden",Dynamic NMR spectral analysis and protein folding: identification of a highly populated folding intermediate of rat intestinal fatty acid-binding protein by 19F NMR,1992,… of the National Academy of Sciences,National Acad Sciences,https://www.pnas.org/content/89/15/7222.short,"https://scholar.google.com/scholar?cites=7020296166003753680&as_sdt=2005&sciodt=0,5&hl=en",263,22/11/2019 18:45,,,,,,,,,135,5,68,2,27
75,"R Seckler, A Fuchs, J King, R Jaenicke",Reconstitution of the thermostable trimeric phage P22 tailspike protein from denatured chains in vitro.,1989,Journal of Biological Chemistry,ASBMB,http://www.jbc.org/content/264/20/11750.short,"https://scholar.google.com/scholar?cites=17176441705191370591&as_sdt=2005&sciodt=0,5&hl=en",264,22/11/2019 18:45,,,,,,,,,75,2.5,19,4,30
30,"SS Plotkin, PG Wolynes",Buffed energy landscapes: Another solution to the kinetic paradoxes of protein folding,2003,Proceedings of the National …,National Acad Sciences,https://www.pnas.org/content/100/8/4417.short,"https://scholar.google.com/scholar?cites=14964699311153402458&as_sdt=2005&sciodt=0,5&hl=en",265,22/11/2019 18:45,,,,,,,,,30,1.88,15,2,16
2718,"L Kay, P Keifer, T Saarinen",Pure absorption gradient enhanced heteronuclear single quantum correlation spectroscopy with improved sensitivity,1992,Journal of the American Chemical …,ACS Publications,https://pubs.acs.org/doi/abs/10.1021/ja00052a088,"https://scholar.google.com/scholar?cites=13968448390933175805&as_sdt=2005&sciodt=0,5&hl=en",266,22/11/2019 18:45,,,,,,,,,2718,100.67,906,3,27
228,TM Raschke,Water structure and interactions with protein surfaces,2006,Current opinion in structural biology,Elsevier,https://www.sciencedirect.com/science/article/pii/S0959440X06000406,"https://scholar.google.com/scholar?cites=3613995255008115068&as_sdt=2005&sciodt=0,5&hl=en",267,22/11/2019 18:45,,,,,,,,,228,17.54,228,1,13
238,"RB Best, G Hummer",Coordinate-dependent diffusion in protein folding,2010,… of the National Academy of Sciences,National Acad Sciences,https://www.pnas.org/content/107/3/1088.short,"https://scholar.google.com/scholar?cites=575491769584982557&as_sdt=2005&sciodt=0,5&hl=en",268,22/11/2019 18:45,,,,,,,,,238,26.44,119,2,9
142,"S Schwarzinger, PE Wright, HJ Dyson",Molecular Hinges in Protein Folding:  the Urea-Denatured State of Apomyoglobin†,2002,Biochemistry,ACS Publications,https://pubs.acs.org/doi/abs/10.1021/bi020381o,"https://scholar.google.com/scholar?cites=11293290566080576023&as_sdt=2005&sciodt=0,5&hl=en",269,22/11/2019 18:45,,,,,,,,,142,8.35,47,3,17
41,"T Yoda, Y Sugita, Y Okamoto",Hydrophobic core formation and dehydration in protein folding studied by generalized-ensemble simulations,2010,Biophysical journal,Elsevier,https://www.sciencedirect.com/science/article/pii/S0006349510007885,"https://scholar.google.com/scholar?cites=10619969170285040819&as_sdt=2005&sciodt=0,5&hl=en",270,22/11/2019 18:45,HTML,,,,,,,,41,4.56,14,3,9
170,"S Liu, C Zhang, H Zhou, Y Zhou",A physical reference state unifies the structure‐derived potential of mean force for protein folding and binding,2004,"Proteins: Structure, Function …",Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/prot.20019,"https://scholar.google.com/scholar?cites=4985139501458668322&as_sdt=2005&sciodt=0,5&hl=en",271,22/11/2019 18:45,,,,,,,,,170,11.33,43,4,15
